SystemId,URL,FIELD,INDEX,LEVEL,VALUE
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearchesMapPlace_Box,0,2.1,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,0,3.1,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,1,3.2,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,2,3.3,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,3,3.4,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,4,3.5,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,5,3.6,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,6,3.7,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,7,3.8,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Box,8,3.9,
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,0,3.1.1.1,Nissan truck models by year
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,1,3.2.1.1,nissan frontier
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,2,3.3.1.1,Nissan pickups for sale
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,3,3.4.1.1,Used nissan pickups
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,4,3.5.1.1,Nissan pickups for sale near me
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,5,3.6.1.1,nissan titan
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,6,3.7.1.1,Nissan pickups 2021
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,7,3.8.1.1,nissan truck models
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_Text,8,3.9.1.1,nissan titan diesel
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_BoxPixel,0,3.1.2.1,"[x:230.00,y:3135.00,w:652.00,h:278.00]"
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_BoxPixel,1,3.2.2.1,"[x:222.00,y:3459.00,w:334.00,h:56.00]"
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_BoxPixel,2,3.3.2.1,"[x:222.00,y:3515.00,w:334.00,h:56.00]"
51,https://www.google.com/search?q=nissan+pickups&start=0&uule=w+CAIQICIbNTk5MDEsTW9udGFuYSxVbml0ZWQgU3RhdGVz&gl=US&hl=en,RelatedSearches_BoxPixel,3,3.4.2.1,"[x:222.00,y:3571.00,w:334.00,h:56.00]"
